Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
EXAS,EXACT SCIENCES CORP,Health Care,Equity,"6,920,859.92",0.21,"6,920,859.92","109,093.00",63.44,United States,NASDAQ,USD,1,USD,-
HSIC,HENRY SCHEIN INC,Health Care,Equity,"6,876,549.43",0.21,"6,876,549.43","84,697.00",81.19,United States,NASDAQ,USD,1,USD,-
SRPT,SAREPTA THERAPEUTICS INC,Health Care,Equity,"6,441,746.85",0.2,"6,441,746.85","52,745.00",122.13,United States,NASDAQ,USD,1,USD,-
UTHR,UNITED THERAPEUTICS CORP,Health Care,Equity,"6,339,446.40",0.2,"6,339,446.40","27,840.00",227.71,United States,NASDAQ,USD,1,USD,-
PEN,PENUMBRA INC,Health Care,Equity,"6,302,575.28",0.19,"6,302,575.28","22,258.00",283.16,United States,New York Stock Exchange Inc.,USD,1,USD,-
QGEN,QIAGEN NV,Health Care,Equity,"6,262,702.50",0.19,"6,262,702.50","141,530.00",44.25,Germany,New York Stock Exchange Inc.,USD,1,USD,-
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,Equity,"6,110,535.40",0.19,"6,110,535.40","59,966.00",101.9,United States,NASDAQ,USD,1,USD,-
BIO,BIO RAD LABORATORIES INC CLASS A,Health Care,Equity,"5,827,043.95",0.18,"5,827,043.95","13,351.00",436.45,United States,New York Stock Exchange Inc.,USD,1,USD,-
CRL,CHARLES RIVER LABORATORIES INTERNA,Health Care,Equity,"5,782,455.96",0.18,"5,782,455.96","31,476.00",183.71,United States,New York Stock Exchange Inc.,USD,1,USD,-
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,"5,670,210.70",0.18,"5,670,210.70","38,885.00",145.82,United States,New York Stock Exchange Inc.,USD,1,USD,-
MASI,MASIMO CORP,Health Care,Equity,"5,584,029.10",0.17,"5,584,029.10","29,726.00",187.85,United States,NASDAQ,USD,1,USD,-
XRAY,DENTSPLY SIRONA INC,Health Care,Equity,"5,532,520.40",0.17,"5,532,520.40","133,765.00",41.36,United States,NASDAQ,USD,1,USD,-
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,Equity,"5,365,692.64",0.17,"5,365,692.64","38,591.00",139.04,United States,NASDAQ,USD,1,USD,-
BRKR,BRUKER CORP,Health Care,Equity,"5,256,378.39",0.16,"5,256,378.39","67,157.00",78.27,United States,NASDAQ,USD,1,USD,-
CTLT,CATALENT INC,Health Care,Equity,"5,252,578.20",0.16,"5,252,578.20","111,876.00",46.95,United States,New York Stock Exchange Inc.,USD,1,USD,-
RGEN,REPLIGEN CORP,Health Care,Equity,"5,009,271.65",0.15,"5,009,271.65","34,511.00",145.15,United States,NASDAQ,USD,1,USD,-
CHE,CHEMED CORP,Health Care,Equity,"4,960,755.04",0.15,"4,960,755.04","9,112.00",544.42,United States,New York Stock Exchange Inc.,USD,1,USD,-
THC,TENET HEALTHCARE CORP,Health Care,Equity,"4,771,963.92",0.15,"4,771,963.92","66,351.00",71.92,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVCR,NOVOCURE LTD,Health Care,Equity,"4,225,504.57",0.13,"4,225,504.57","64,423.00",65.59,United States,NASDAQ,USD,1,USD,-
ACHC,ACADIA HEALTHCARE COMPANY INC,Health Care,Equity,"4,047,772.52",0.13,"4,047,772.52","55,586.00",72.82,United States,NASDAQ,USD,1,USD,-
EHC,ENCOMPASS HEALTH CORP,Health Care,Equity,"3,889,189.20",0.12,"3,889,189.20","61,305.00",63.44,United States,New York Stock Exchange Inc.,USD,1,USD,-
OGN,ORGANON,Health Care,Equity,"3,858,202.74",0.12,"3,858,202.74","158,578.00",24.33,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVST,ENVISTA HOLDINGS CORP,Health Care,Equity,"3,853,498.35",0.12,"3,853,498.35","101,595.00",37.93,United States,New York Stock Exchange Inc.,USD,1,USD,-
EXEL,EXELIXIS INC,Health Care,Equity,"3,638,342.63",0.11,"3,638,342.63","200,239.00",18.17,United States,NASDAQ,USD,1,USD,-
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"3,117,436.20",0.1,"3,117,436.20","3,117,436.00",1,United States,-,USD,1,USD,-
IONS,IONIS PHARMACEUTICALS INC,Health Care,Equity,"3,115,571.25",0.1,"3,115,571.25","88,385.00",35.25,United States,NASDAQ,USD,1,USD,-
PRGO,PERRIGO PLC,Health Care,Equity,"3,078,568.35",0.1,"3,078,568.35","84,045.00",36.63,United States,New York Stock Exchange Inc.,USD,1,USD,-
NTRA,NATERA INC,Health Care,Equity,"3,074,025.77",0.1,"3,074,025.77","61,199.00",50.23,United States,NASDAQ,USD,1,USD,-
DVA,DAVITA INC,Health Care,Equity,"3,067,148.50",0.09,"3,067,148.50","34,850.00",88.01,United States,New York Stock Exchange Inc.,USD,1,USD,-
TXG,10X GENOMICS INC CLASS A,Health Care,Equity,"2,962,855.68",0.09,"2,962,855.68","57,688.00",51.36,United States,NASDAQ,USD,1,USD,-
AGL,AGILON HEALTH,Health Care,Equity,"2,931,860.25",0.09,"2,931,860.25","118,459.00",24.75,United States,New York Stock Exchange Inc.,USD,1,USD,-
OSH,OAK STREET HEALTH INC,Health Care,Equity,"2,832,586.80",0.09,"2,832,586.80","72,705.00",38.96,United States,New York Stock Exchange Inc.,USD,1,USD,-
GMED,GLOBUS MEDICAL INC CLASS A,Health Care,Equity,"2,786,580.61",0.09,"2,786,580.61","48,437.00",57.53,United States,New York Stock Exchange Inc.,USD,1,USD,-
TDOC,TELADOC HEALTH INC,Health Care,Equity,"2,747,550.99",0.08,"2,747,550.99","100,239.00",27.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
QDEL,QUIDELORTHO CORP,Health Care,Equity,"2,716,843.18",0.08,"2,716,843.18","30,434.00",89.27,United States,NASDAQ,USD,1,USD,-
ELAN,ELANCO ANIMAL HEALTH INC,Health Care,Equity,"2,587,157.44",0.08,"2,587,157.44","277,592.00",9.32,United States,New York Stock Exchange Inc.,USD,1,USD,-
DOCS,DOXIMITY INC CLASS A,Health Care,Equity,"2,549,901.53",0.08,"2,549,901.53","70,033.00",36.41,United States,New York Stock Exchange Inc.,USD,1,USD,-
IART,INTEGRA LIFESCIENCES HOLDINGS CORP,Health Care,Equity,"2,513,890.50",0.08,"2,513,890.50","45,525.00",55.22,United States,NASDAQ,USD,1,USD,-
USD,USD CASH,Cash and/or Derivatives,Cash,"2,483,861.17",0.08,"2,483,861.17","2,483,861.00",100,United States,-,USD,1,USD,-
PINC,PREMIER INC CLASS A,Health Care,Equity,"2,427,690.78",0.08,"2,427,690.78","73,611.00",32.98,United States,NASDAQ,USD,1,USD,-
SYNH,SYNEOS HEALTH INC CLASS A,Health Care,Equity,"2,423,573.35",0.07,"2,423,573.35","64,031.00",37.85,United States,NASDAQ,USD,1,USD,-
ICUI,ICU MEDICAL INC,Health Care,Equity,"2,387,473.05",0.07,"2,387,473.05","12,669.00",188.45,United States,NASDAQ,USD,1,USD,-
ENOV,ENOVIS CORP,Health Care,Equity,"1,828,518.39",0.06,"1,828,518.39","31,597.00",57.87,United States,New York Stock Exchange Inc.,USD,1,USD,-
AZTA,AZENTA INC,Health Care,Equity,"1,779,190.40",0.06,"1,779,190.40","42,769.00",41.6,United States,NASDAQ,USD,1,USD,-
RARE,ULTRAGENYX PHARMACEUTICAL INC,Health Care,Equity,"1,770,114.94",0.05,"1,770,114.94","41,689.00",42.46,United States,NASDAQ,USD,1,USD,-
CERT,CERTARA INC,Health Care,Equity,"1,752,179.10",0.05,"1,752,179.10","72,554.00",24.15,United States,NASDAQ,USD,1,USD,-
AMED,AMEDISYS INC,Health Care,Equity,"1,585,696.45",0.05,"1,585,696.45","20,095.00",78.91,United States,NASDAQ,USD,1,USD,-
TNDM,TANDEM DIABETES CARE INC,Health Care,Equity,"1,493,812.50",0.05,"1,493,812.50","39,835.00",37.5,United States,NASDAQ,USD,1,USD,-
GH,GUARDANT HEALTH INC,Health Care,Equity,"1,317,060.00",0.04,"1,317,060.00","60,750.00",21.68,United States,NASDAQ,USD,1,USD,-
MRTX,MIRATI THERAPEUTICS INC,Health Care,Equity,"1,219,527.96",0.04,"1,219,527.96","27,958.00",43.62,United States,NASDAQ,USD,1,USD,-
SHC,SOTERA HEALTH COMPANY,Health Care,Equity,"1,015,872.10",0.03,"1,015,872.10","61,382.00",16.55,United States,NASDAQ,USD,1,USD,-
MRVI,MARAVAI LIFESCIENCES HOLDINGS INC,Health Care,Equity,"928,194.30",0.03,"928,194.30","69,165.00",13.42,United States,NASDAQ,USD,1,USD,-
DNA,GINKGO BIOWORKS HOLDINGS INC CLASS,Materials,Equity,"643,660.50",0.02,"643,660.50","545,475.00",1.18,United States,New York Stock Exchange Inc.,USD,1,USD,-
NVAX,NOVAVAX INC,Health Care,Equity,"407,703.24",0.01,"407,703.24","53,929.00",7.56,United States,NASDAQ,USD,1,USD,-
EHAB,ENHABIT INC,Health Care,Equity,"377,019.60",0.01,"377,019.60","30,652.00",12.3,United States,New York Stock Exchange Inc.,USD,1,USD,-
WFFUT,CASH COLLATERAL USD WFFUT,Cash and/or Derivatives,Cash Collateral and Margins,"248,999.00",0.01,"248,999.00","248,999.00",100,United States,-,USD,1,USD,23-Aug-17
IXCM3,E-MINI HEALTH CARE SECTOR JUN 23,Cash and/or Derivatives,Futures,0,0,"5,513,680.00",41,"1,344.80",-,Chicago Mercantile Exchange,USD,1,USD,-
